track_id,rmd_zone_name,trigger_count,object_class,weekday,date,time,duration,enter_direction,enter_azimuth,exit_direction,exit_azimuth,min_speed,avg_speed,max_speed,speed_delta,alarm
3536,Scenario 1,48,Vehicle,Thu,2024-05-09,17:39:35.550155,11.17,departing,6,departing,352,38.70,43.20,46.80,8.10,1
3556,Scenario 1,50,Vehicle,Thu,2024-05-09,17:40:03.608918,9.81,departing,7,departing,352,43.20,49.50,52.20,7.20,1
3573,Scenario 1,49,Vehicle,Thu,2024-05-09,17:40:08.924553,2.20,departing,2,departing,352,42.30,45.00,46.80,4.50,1
3584,Scenario 1,50,Vehicle,Thu,2024-05-09,17:40:12.121187,7.71,departing,354,departing,351,44.10,44.10,45.00,0.00,1
3605,Scenario 1,52,Vehicle,Thu,2024-05-09,17:40:31.116364,12.41,departing,11,departing,351,36.00,39.60,44.10,7.20,1
3637,Scenario 1,52,Vehicle,Thu,2024-05-09,17:40:44.838063,7.11,departing,3,departing,350,42.30,45.90,47.70,1.80,1
3654,Scenario 1,52,Vehicle,Thu,2024-05-09,17:40:47.840909,6.87,approaching,176,approaching,176,49.50,52.20,54.00,2.70,1
3661,Scenario 1,52,Vehicle,Thu,2024-05-09,17:40:53.805390,1.70,departing,353,departing,355,44.10,44.10,45.00,0.00,0
3686,Scenario 1,53,Vehicle,Thu,2024-05-09,17:41:06.531271,8.91,departing,360,departing,348,51.30,54.00,54.90,3.60,1
3719,Scenario 1,54,Vehicle,Thu,2024-05-09,17:41:17.749041,5.97,approaching,177,approaching,178,58.50,61.20,62.10,-2.70,1
3763,Scenario 1,57,Human,Thu,2024-05-09,17:41:32.226255,30.51,leftwards,275,approaching,165,0.90,3.60,7.20,-1.80,0
3785,Scenario 1,55,Vehicle,Thu,2024-05-09,17:41:38.144441,9.76,departing,3,departing,351,45.00,48.60,54.90,-3.60,1
3815,Scenario 1,56,Vehicle,Thu,2024-05-09,17:41:49.413140,6.42,approaching,175,approaching,199,30.60,48.60,50.40,-18.90,1
3834,Scenario 1,57,Vehicle,Thu,2024-05-09,17:41:57.935484,14.77,departing,359,departing,351,18.90,33.30,44.10,2.70,1
3835,Scenario 1,57,Vehicle,Thu,2024-05-09,17:41:58.543366,12.06,departing,354,departing,350,19.80,30.60,41.40,-4.50,1
3881,Scenario 1,58,Vehicle,Thu,2024-05-09,17:42:14.420349,10.32,departing,358,departing,353,44.10,46.80,48.60,-1.80,1
3890,Scenario 1,57,Unknown,Thu,2024-05-09,17:42:15.419073,0.50,leftwards,227,leftwards,227,170.10,170.10,170.10,0.00,0
3917,Scenario 1,58,Vehicle,Thu,2024-05-09,17:42:21.333250,12.27,departing,6,departing,354,36.00,38.70,43.20,0.90,1
3954,Scenario 1,59,Vehicle,Thu,2024-05-09,17:42:34.902997,8.02,approaching,176,approaching,191,35.10,47.70,50.40,-9.00,1
3955,Scenario 1,59,Vehicle,Thu,2024-05-09,17:42:37.922854,10.31,departing,2,departing,353,39.60,46.80,49.50,9.90,1
3972,Scenario 1,60,Vehicle,Thu,2024-05-09,17:42:53.653974,6.75,departing,355,departing,352,50.40,52.20,54.00,-1.80,1
3988,Scenario 1,60,Vehicle,Thu,2024-05-09,17:42:57.348908,6.06,approaching,176,approaching,195,37.80,50.40,53.10,-12.60,1
3991,Scenario 1,60,Vehicle,Thu,2024-05-09,17:43:02.263284,0.67,departing,352,departing,349,49.50,49.50,49.50,0.00,0
3996,Scenario 1,60,Unknown,Thu,2024-05-09,17:43:42.936557,1.00,rightwards,78,rightwards,81,37.80,39.60,44.10,-6.30,0
3998,Scenario 1,61,Vehicle,Thu,2024-05-09,17:43:45.542191,6.97,approaching,175,approaching,199,38.70,54.90,56.70,-16.20,1
3999,Scenario 1,61,Vehicle,Thu,2024-05-09,17:43:46.644845,1.40,rightwards,87,rightwards,84,18.00,21.60,25.20,1.80,0
4001,Scenario 1,61,Unknown,Thu,2024-05-09,17:43:49.801519,0.60,rightwards,102,rightwards,99,1.80,2.70,2.70,0.90,0
4008,Scenario 1,62,Vehicle,Thu,2024-05-09,17:43:54.208326,6.82,approaching,184,approaching,197,36.90,52.20,54.90,-16.20,1
4011,Scenario 1,63,Vehicle,Thu,2024-05-09,17:43:59.624002,6.92,approaching,174,approaching,196,40.50,53.10,54.90,-12.60,1
4017,Scenario 1,63,Vehicle,Thu,2024-05-09,17:44:02.527893,7.14,approaching,181,approaching,193,39.60,51.30,53.10,-13.50,1
4021,Scenario 1,63,Vehicle,Thu,2024-05-09,17:44:05.337771,5.91,approaching,180,approaching,191,36.00,52.20,54.00,-18.00,1
4025,Scenario 1,63,Vehicle,Thu,2024-05-09,17:44:06.542813,5.10,rightwards,78,departing,23,2.70,19.80,34.20,21.60,1
4039,Scenario 1,63,Vehicle,Thu,2024-05-09,17:44:09.051003,3.29,departing,31,departing,347,25.20,28.80,31.50,6.30,1
4064,Scenario 1,64,Vehicle,Thu,2024-05-09,17:44:34.345130,8.06,departing,5,departing,349,51.30,58.50,61.20,9.90,1
4082,Scenario 1,66,Vehicle,Thu,2024-05-09,17:44:46.620220,7.51,departing,356,departing,358,61.20,62.10,63.00,0.90,1
4099,Scenario 1,66,Vehicle,Thu,2024-05-09,17:44:52.837492,9.10,departing,0,departing,351,48.60,53.10,54.90,6.30,1
4112,Scenario 1,67,Vehicle,Thu,2024-05-09,17:45:09.406788,5.81,approaching,177,approaching,209,30.60,49.50,51.30,-20.70,1
4121,Scenario 1,68,Vehicle,Thu,2024-05-09,17:45:16.928214,9.61,departing,6,departing,353,45.00,50.40,52.20,6.30,1
4148,Scenario 1,69,Vehicle,Thu,2024-05-09,17:45:30.698364,5.81,approaching,175,approaching,199,37.80,52.20,54.00,-14.40,1
4150,Scenario 1,69,Vehicle,Thu,2024-05-09,17:45:33.504877,5.61,approaching,181,approaching,201,43.20,59.40,61.20,-17.10,1
4161,Scenario 1,70,Vehicle,Thu,2024-05-09,17:45:49.347397,10.86,departing,8,departing,355,40.50,45.00,46.80,6.30,1
4181,Scenario 1,70,Vehicle,Thu,2024-05-09,17:45:55.558290,10.56,departing,357,departing,352,36.00,42.30,46.80,10.80,1
4208,Scenario 1,70,Vehicle,Thu,2024-05-09,17:46:02.119846,9.02,departing,6,departing,353,40.50,44.10,46.80,6.30,1
4224,Scenario 1,70,Vehicle,Thu,2024-05-09,17:46:08.425981,5.31,approaching,175,approaching,177,59.40,60.30,62.10,2.70,1
4227,Scenario 1,70,Vehicle,Thu,2024-05-09,17:46:10.537603,8.02,departing,4,departing,353,47.70,52.20,54.90,3.60,1
4234,Scenario 1,70,Vehicle,Thu,2024-05-09,17:46:12.840195,0.10,departing,353,departing,352,48.60,48.60,48.60,0.00,0
4241,Scenario 1,70,Vehicle,Thu,2024-05-09,17:46:13.939163,7.93,approaching,171,approaching,201,46.80,55.80,63.90,-8.10,1
4246,Scenario 1,70,Vehicle,Thu,2024-05-09,17:46:16.353936,5.36,departing,10,rightwards,75,12.60,18.00,28.80,-7.20,1
4271,Scenario 1,71,Vehicle,Thu,2024-05-09,17:46:22.420061,10.91,departing,3,departing,351,39.60,42.30,45.00,4.50,1
4272,Scenario 1,71,Vehicle,Thu,2024-05-09,17:46:23.617140,2.60,rightwards,76,rightwards,46,20.70,26.10,36.90,13.50,1
4298,Scenario 1,71,Unknown,Thu,2024-05-09,17:46:32.734217,0.90,leftwards,234,leftwards,226,18.90,19.80,20.70,1.80,0
4298,Scenario 1,71,Unknown,Thu,2024-05-09,17:46:33.737866,0.19,leftwards,228,leftwards,228,19.80,19.80,19.80,0.00,0
4302,Scenario 1,72,Vehicle,Thu,2024-05-09,17:46:54.028397,9.51,departing,10,departing,353,45.00,50.40,51.30,5.40,1
4322,Scenario 1,73,Vehicle,Thu,2024-05-09,17:47:10.061393,10.86,departing,8,departing,356,33.30,41.40,45.00,11.70,1
4339,Scenario 1,73,Vehicle,Thu,2024-05-09,17:47:13.615352,10.71,departing,6,departing,354,36.90,45.00,50.40,12.60,1
4389,Scenario 1,75,Vehicle,Thu,2024-05-09,17:47:51.236368,9.12,departing,1,departing,350,45.90,52.20,54.00,8.10,1
4417,Scenario 1,75,Vehicle,Thu,2024-05-09,17:47:59.758445,10.77,departing,4,departing,349,39.60,45.00,45.90,4.50,1
4423,Scenario 1,74,Unknown,Thu,2024-05-09,17:48:00.456930,1.05,departing,349,departing,346,94.50,95.40,96.30,0.00,0
4456,Scenario 1,75,Vehicle,Thu,2024-05-09,17:48:04.619216,9.91,departing,359,departing,353,43.20,46.80,48.60,5.40,1
4465,Scenario 1,75,Vehicle,Thu,2024-05-09,17:48:06.037793,9.09,departing,6,departing,354,39.60,45.00,46.80,5.40,1
4494,Scenario 1,75,Vehicle,Thu,2024-05-09,17:48:12.027450,14.98,approaching,175,rightwards,96,4.50,24.30,53.10,-42.30,1
4529,Scenario 1,75,Vehicle,Thu,2024-05-09,17:48:23.265245,10.55,departing,351,departing,352,42.30,45.00,52.20,-4.50,1
4582,Scenario 1,76,Vehicle,Thu,2024-05-09,17:48:34.719177,6.01,approaching,174,approaching,188,48.60,51.30,53.10,-1.80,1
4622,Scenario 1,77,Vehicle,Thu,2024-05-09,17:48:43.336999,5.72,approaching,174,approaching,200,35.10,44.10,46.80,-9.00,1
4626,Scenario 1,77,Vehicle,Thu,2024-05-09,17:48:44.840978,5.41,approaching,174,approaching,204,32.40,47.70,52.20,-15.30,1
4681,Scenario 1,78,Vehicle,Thu,2024-05-09,17:49:06.639009,9.31,departing,2,departing,355,45.90,51.30,53.10,2.70,1
4700,Scenario 1,79,Vehicle,Thu,2024-05-09,17:49:18.103713,7.42,approaching,174,approaching,190,40.50,54.00,56.70,-12.60,1
4702,Scenario 1,79,Vehicle,Thu,2024-05-09,17:49:21.319524,10.31,departing,2,departing,348,44.10,46.80,47.70,3.60,1
4734,Scenario 1,80,Vehicle,Thu,2024-05-09,17:49:34.749082,10.86,departing,317,departing,327,0.90,24.30,37.80,-8.10,1
4804,Scenario 1,81,Vehicle,Thu,2024-05-09,17:49:55.743493,11.92,departing,15,departing,356,22.50,28.80,34.20,6.30,1
4807,Scenario 1,81,Vehicle,Thu,2024-05-09,17:49:57.340937,8.43,departing,356,departing,355,2.70,19.80,34.20,31.50,1
4816,Scenario 1,81,Vehicle,Thu,2024-05-09,17:49:58.641464,12.58,approaching,180,approaching,195,23.40,34.20,42.30,9.00,1
4843,Scenario 1,81,Vehicle,Thu,2024-05-09,17:50:04.672483,12.56,departing,18,departing,351,25.20,39.60,43.20,12.60,1
4844,Scenario 1,81,Vehicle,Thu,2024-05-09,17:50:05.470736,8.26,approaching,177,approaching,198,28.80,36.00,40.50,-3.60,1
